"Natural resource depletion (% of GNI)"
"Dimension: Environmental sustainability"
"By 2030, achieve the sustainable management and efficient use of natural resources"
"Definition: Monetary valuation of energy, mineral and forest depletion, expressed as a percentage of gross national income (GNI)."
"Source: World Bank (2020a). World Development Indicators database. Washington, DC. http://data.worldbank.org. Accessed 22 July 2020."
""
"HDI Rank","Country","1990","","1995","","2000","","2005","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017","","2018","","2015-2018",""
"165"," Lesotho","2.4","","3.0","","2.7","","2.6","","2.9","","3.0","","3.7","","4.1","","4.6","","5.6","","5.8","","5.0","","2.7","","2.7","a"
"175"," Liberia","..","","..","","0.3","","1.4","","16.2","","15.5","","17.5","","16.5","","18.3","","18.4","","21.8","","23.6","","19.4","","19.4","a"
"105"," Libya","..","","..","","..","","22.3","","17.0","","4.1","","16.9","","10.2","","4.7","","2.9","","2.2","","6.6","","9.2","","9.2","a"
"34"," Lithuania","..","","0.1","","0.3","","0.2","","0.1","","0.1","","0.1","","0.1","","0.1","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"23"," Luxembourg","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"164"," Madagascar","0.0","","0.0","","0.0","","0.0","","0.0","","0.1","","0.1","","0.7","","1.8","","1.5","","0.7","","0.2","","0.9","","0.9","a"
"174"," Malawi","7.6","","16.0","","8.6","","5.6","","5.0","","4.9","","7.4","","8.3","","8.1","","7.9","","9.1","","8.0","","5.1","","5.1","a"
"62"," Malaysia","8.4","","2.8","","5.0","","6.7","","4.2","","4.9","","4.7","","4.3","","4.1","","3.2","","2.4","","3.0","","4.2","","4.2","a"
"95"," Maldives","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"184"," Mali","1.8","","4.0","","2.5","","2.3","","9.6","","10.5","","13.7","","11.0","","9.3","","10.1","","10.4","","10.3","","8.7","","8.7","a"
"157"," Mauritania","4.8","","3.7","","5.3","","10.4","","19.1","","19.3","","20.1","","18.9","","16.3","","12.0","","12.1","","13.9","","8.9","","8.9","a"
"66"," Mauritius","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","","0.0","a"
"74"," Mexico","3.5","","1.6","","2.6","","4.9","","4.0","","5.7","","5.5","","4.9","","4.0","","2.1","","1.8","","2.2","","2.7","","2.7","a"
