1.7,"Philippines",43.1,"",55.4,"",53.1,"",57.8,"",60.1,"",59.9,"",59.5,"",61.4,"",62.4,"","..","",62.4,"a"
35,"Poland",97.8,"",95.5,"",96.2,"",96.0,"",92.5,"",92.1,"",91.0,"",91.1,"",90.1,"",90.3,"",90.3,"a"
38,"Portugal",80.4,"",83.2,"",84.0,"",84.1,"",75.1,"",75.7,"",75.8,"",73.3,"",72.8,"",77.0,"",77.0,"a"
45,"Qatar","..","",100.0,"",100.0,"",100.0,"","..","","..","","..","",100.0,"",100.0,"","..","",100.0,"a"
49,"Romania",96.1,"",93.2,"",84.8,"",83.9,"",75.1,"",77.7,"",76.4,"",73.5,"",72.5,"","..","",72.5,"a"
52,"Russia",93.4,"",92.3,"",91.1,"",90.7,"",90.5,"",90.9,"",90.9,"",89.5,"",92.1,"","..","",92.1,"a"
40,"Saudi Arabia",100.0,"",100.0,"",100.0,"",100.0,"",100.0,"",99.2,"",99.5,"",99.6,"",99.9,"","..","",99.9,"a"
1.8,"Senegal",43.3,"",45.6,"",50.3,"",55.2,"",46.1,"",47.5,"",45.8,"",52.2,"",53.9,"","..","",53.9,"a"
64,"Serbia",90.8,"",87.3,"",84.8,"",89.6,"",86.9,"",89.1,"",87.1,"",88.5,"",83.9,"","..","",83.9,"a"
11,"Singapore",99.4,"",98.9,"",98.9,"",98.2,"",97.7,"",97.7,"",96.3,"",94.0,"",90.6,"","..","",90.6,"a"
39,"Slovakia",81.6,"",78.6,"",72.5,"",72.1,"",70.2,"",68.5,"",66.8,"",66.4,"",63.9,"",64.1,"",64.1,"a"
22,"Slovenia",71.3,"",72.9,"",70.1,"",68.6,"",66.7,"",64.9,"",65.1,"",63.7,"",59.7,"",61.1,"",61.1,"a"
1.4,"South Africa",86.2,"",86.3,"",84.2,"",87.2,"",87.5,"",87.0,"",87.2,"",86.6,"",86.8,"","..","",86.8,"a"
1.5,"South Sudan","..","","..","","..","","..","","..","","..","",70.1,"",72.4,"",72.2,"","..","",72.2,"a"
25,"Spain",77.4,"",79.6,"",80.6,"",83.5,"",76.0,"",76.5,"",75.0,"",72.6,"",71.5,"",73.0,"",73.0,"a"
72,"Sri Lanka",24.1,"",33.1,"",43.0,"",45.3,"",43.1,"",48.8,"",47.3,"",45.9,"",50.5,"","..","",50.5,"a"
1.0,"Sudan",17.4,"",13.2,"",17.6,"",23.3,"",31.0,"",29.6,"",32.8,"",31.2,"",31.7,"","..","",31.7,"a"
97,"Suriname","..","","..","",75.6,"",82.2,"",79.4,"",79.3,"",80.3,"",76.9,"",76.3,"","..","",76.3,"a"
7,"Sweden",37.3,"",36.9,"",34.8,"",33.8,"",34.4,"",34.2,"",31.0,"",30.0,"",29.8,"",25.1,"",25.1,"a"
2,"Switzerland",58.5,"",55.9,"",54.4,"",55.5,"",51.6,"",50.4,"",50.9,"",52.1,"",48.7,"",50.2,"",50.2,"a"
1.1,"Syria",97.7,"",98.2,"",98.2,"",98.5,"",99.1,"","..","","..","",98.1,"",97.8,"","..","",97.8,"a"
1.5,"Tajikistan",71.3,"",41.0,"",38.5,"",36.7,"",34.6,"",36.3,"",42.3,"",33.9,"",46.0,"","..","",46.0,"a"
1.3,"Tanzania",6.9,"",8.9,"",6.1,"",10.1,"",10.6,"",12.6,"",14.9,"",14.9,"",14.4,"","..","",14.4,"a"
79,"Thailand",63.8,"",76.0,"",78.7,"",81.8,"",80.0,"",80.2,"",80.2,"",80.7,"",79.8,"","..","",79.8,"a"
1.7,"Togo",15.1,"",12.5,"",14.9,"",13.8,"",22.0,"",19.9,"",17.2,"",17.4,"",17.8,"","..","",17.8,"a"
67,"Trinidad and Tobago",98.9,"",99.3,"",99.8,"",99.8,"",99.9,"",99.9,"",99.9,"",99.9,"",99.9,"","..","",99.9,"a"
95,"Tunisia",87.0,"",87.0,"",87.1,"",86.3,"",87.7,"",88.1,"",88.3,"",88.2,"",88.9,"","..","",88.9,"a"
54,"Turkey",81.8,"",82.6,"",86.2,"",88.1,"",89.1,"",90.0,"",89.4,"",88.2,"",89.5,"",86.8,"",86.8,"a"
74,"Ukraine",91.8,"",88.0,"",84.2,"",83.3,"",80.5,"",79.6,"",79.3,"",78.2,"",75.3,"","..","",75.3,"a"
31,"United Arab Emirates",100.0,"",99.9,"",99.9,"",99.9,"","..","",91.7,"",90.1,"",93.6,"",86.1,"","..","",86.1,"a"
13,"United Kingdom",90.7,"",87.7,"",88.4,"",88.2,"",88.2,"",85.6,"",85.1,"",83.6,"",82.7,"",80.4,"",80.4,"a"
17,"United States",86.4,"",85.5,"",85.9,"",86.0,"",84.2,"",83.7,"",83.4,"",82.9,"",83.1,"",82.4,"",82.4,"a"
55,"Uruguay",58.7,"",60.7,"",65.2,"",63.3,"",50.0,"",56.1,"",58.4,"",52.9,"",46.3,"","..","",46.3,"a"
1.6,"Uzbekistan",99.2,"",99.0,"",98.8,"",98.4,"",97.8,"",98.1,"",98.0,"",97.7,"","..","","..","",97.7,"a"
1.3,"Venezuela",90.5,"",89.2,"",88.1,"",87.0,"",89.8,"",88.1,"",89.3,"",88.4,"","..","","..","",88.4,"a"
1.7,"Vietnam",27.6,"",37.0,"",46.3,"",60.5,"",70.3,"",68.5,"",67.0,"",69.8,"","..","","..","",69.8,"a"
1.9,"Yemen",96.9,"",97.7,"",98.4,"",98.7,"",98.3,"",98.4,"",98.2,"",98.5,"","..","","..","",98.5,"a"
1.6,"Zambia",15.5,"",11.5,"",8.8,"",10.1,"",7.8,"",8.6,"",10.7,"",10.6,"","..","","..","",10.6,"a"
1.0,"Zimbabwe",44.8,"",43.6,"",37.0,"",30.3,"",24.9,"",28.5,"",28.9,"",29.1,"","..","","..","",29.1,"a"
